brian,BPName,Account#,Contract#,ContractStartDt,ContractEndDt,Rate,Premise#,PremiseAddress,UsageMonth,Invoice#,Bill#,BillPeriodStartDate,BillPeriodEndDate,BillPeriodDays,BillAmount,kWhQty,BilledkW,ActualkW,BLC,Meter#
10255635,BOISE STATE UNIVERSITY,2223504115,32582710,10/25/2017,NULL,I01,60248942,1309 S CHRISWAY DR 116 /BOISE ID 83706-4187,202201,6067860335,1130632081,12/24/2021,1/24/2022,32,45.45,425,NULL,5,NULL,75359992
10255635,BOISE STATE UNIVERSITY,2223504115,32582164,10/25/2017,NULL,I01,60367686,1309 S CHRISWAY DR 215 /BOISE ID 83706-4187,202201,6067860335,1161182244,12/24/2021,1/24/2022,32,44.01,410,NULL,5,NULL,75359993
10255635,BOISE STATE UNIVERSITY,2223504115,32582143,10/25/2017,NULL,I01,60280611,1309 S CHRISWAY DR 122 /BOISE ID 83706-4187,202201,6067860335,1452828284,12/24/2021,1/24/2022,32,31.05,273,NULL,4,NULL,75359994
10255635,BOISE STATE UNIVERSITY,2223505682,32585689,11/23/2017,NULL,I01,60025333,1303 S CHRISWAY DR 106 /BOISE ID 83706-4270,202201,6190397986,1145915331,12/24/2021,1/24/2022,32,49.97,473,NULL,6,NULL,75359995
10255635,BOISE STATE UNIVERSITY,2223505682,32585956,11/23/2017,NULL,I01,60080006,1303 S CHRISWAY DR 406 /BOISE ID 83706-4270,202201,6190397986,1115343160,12/24/2021,1/24/2022,32,48.19,454,NULL,4,NULL,75359996
10255635,BOISE STATE UNIVERSITY,2223505682,32585939,11/23/2017,NULL,I01,60428724,1303 S CHRISWAY DR 213 /BOISE ID 83706-4270,202201,6190397986,1452827953,12/24/2021,1/24/2022,32,38.91,356,NULL,5,NULL,75359997
10255635,BOISE STATE UNIVERSITY,2223505682,32585923,11/23/2017,NULL,I01,60149380,1303 S CHRISWAY DR 312 /BOISE ID 83706-4270,202201,6190397986,1498669231,12/24/2021,1/24/2022,32,22.73,185,NULL,6,NULL,75359998
10255635,BOISE STATE UNIVERSITY,2223505682,32585671,11/23/2017,NULL,I01,60436452,1305 S CHRISWAY DR 312 /BOISE ID 83706-4266,202201,6190397986,1191739930,12/24/2021,1/24/2022,32,21.78,175,NULL,5,NULL,75359999
10255635,BOISE STATE UNIVERSITY,2223505682,32585900,11/23/2017,NULL,I01,60164732,1305 S CHRISWAY DR 212 /BOISE ID 83706-4266,202201,6190397986,1054160368,12/24/2021,1/24/2022,32,30.59,268,NULL,6,NULL,75360000
10255635,BOISE STATE UNIVERSITY,2223505682,32585944,11/23/2017,NULL,I01,60381338,1305 S CHRISWAY DR 104 /BOISE ID 83706-4266,202201,6190397986,1115343252,12/24/2021,1/24/2022,32,42.04,389,NULL,5,NULL,75360001
